current,all_time,app_id,24_peak,title
"1,755","48,640",241930,"2,565",Middle-earth: Shadow of Mordor
"1,743","70,870",231670,"2,839",Football Manager 2014
"1,740","13,113",333930,"3,041",Dirty Bomb
"1,680","2,873",581620,"1,770",Bold New World
"1,648","2,398",557400,"1,954",Midas Gold Plus
"1,643","4,825",10090,"2,009",Call of Duty: World at War
"1,640","19,175",33930,"2,988",Arma 2: Operation Arrowhead
"1,622","7,673",312660,"2,854",Sniper Elite 4
"1,600","5,068",212740,"3,319",TERA
"1,594","45,871",239140,"2,778",Dying Light
"1,589","27,406",208650,"2,222",Batman: Arkham Knight
"1,589","9,335",563560,"3,897",Alien Swarm: Reactive Drop
"1,578","15,775",222880,"2,206",Insurgency
"1,542","7,768",427270,"2,364",Orcs Must Die! Unchained
"1,534","16,868",504370,"2,585",Battlerite
"1,525","6,545",374040,"2,716",Portal Knights
"1,448","2,337",329110,"2,156",Gems of War
"1,437","2,901",445190,"2,166",Expeditions: Viking
"1,358","6,607",383120,"1,652",Empyrion - Galactic Survival
"1,343","9,469",438040,"2,851",Shakes and Fidget
"1,329","12,175",202990,"3,346",Call of Duty: Black Ops II - Multiplayer
"1,328","44,271",379720,"1,859",DOOM
"1,327","5,402",228200,"2,149",Company of Heroes (New Steam Version)
"1,322","7,067",244210,"3,046",Assetto Corsa
"1,315","14,819",262060,"1,693",Darkest Dungeon
"1,302","4,086",368070,"2,873",Sniper Ghost Warrior 3
"1,294","16,631",219740,"2,162",Don't Starve
"1,290","2,728",284160,"1,368",BeamNG.drive
"1,285","2,954",541180,"2,314",PRO EVOLUTION SOCCER 2017 TRIAL EDITION
"1,278","6,251",415200,"2,393",Motorsport Manager
"1,271","5,482",9900,"1,592",Star Trek Online
"1,268","5,609",105450,"1,753",Age of Empires III: Complete Collection
"1,265","9,397",242920,"1,629",Banished
"1,242","16,185",233450,"1,793",Prison Architect
"1,239","7,896",290080,"1,958",Life is Feudal: Your Own
"1,239","3,499",414530,"1,750",Skyforge
"1,238","18,904",212680,"1,378",FTL: Faster Than Light
"1,234","2,959",4760,"1,621",Rome: Total War
"1,233","10,216",620,"1,591",Portal 2
"1,231","17,162",442080,"1,694",Riders of Icarus
"1,214","24,700",235540,"1,848",Warhammer: End Times - Vermintide
"1,212","14,783",310950,"1,474",Street Fighter V
"1,211","5,946",414700,"2,113",Outlast 2
"1,203","9,750",244450,"1,873",Men of War: Assault Squad 2
"1,202","1,953",612290,"1,649",ASTA Online
"1,167","10,484",391540,"1,399",Undertale
"1,161","3,830",537180,"1,272",Digimon Masters Online
"1,155","3,869",34030,"1,917",Napoleon: Total War
"1,153","22,328",200510,"1,568",XCOM: Enemy Unknown
"1,153","3,210",365360,"1,572",Battle Brothers
"1,147","5,628",335240,"1,575",Transformice
"1,113","3,814",339600,"1,561",VEGA Conflict
"1,096","3,876",305620,"1,788",The Long Dark
"1,092","6,475",10190,"2,323",Call of Duty: Modern Warfare 2 - Multiplayer
"1,069","4,143",433340,"1,143",Slime Rancher
"1,057","11,104",226840,"1,204",Age of Wonders III
"1,049","12,615",446800,"2,227",Transport Fever
"1,046","6,509",304030,"1,370",ArcheAge
"1,042","3,675",397060,"1,683",Faeria
"1,040","10,861",238090,"2,042",Sniper Elite 3
"1,032","2,831",200210,"1,181",Realm of the Mad God
"1,029","22,411",403640,"1,697",Dishonored 2
"1,022","1,961",212500,"1,614",The Lord of the Rings Online
"1,015","2,225",531640,"1,139",Eternal Card Game
"1,000","3,948",568810,"1,305",FreeStyle Football
989,"15,417",292730,"2,034",Call of Duty: Infinite Warfare
985,"19,416",454650,"1,183",DRAGON BALL XENOVERSE 2
981,"5,230",375230,"1,468","Warhammer 40,000: Eternal Crusade"
963,"6,673",380600,"1,794",Fishing Planet
958,"8,759",226320,"1,057",Marvel Heroes 2016
945,"4,222",506140,"1,397",Shop Heroes
929,"24,954",219640,"1,555",Chivalry: Medieval Warfare
927,"4,927",113400,"1,389",APB Reloaded
925,"41,906",291650,"1,316",Pillars of Eternity
925,"7,565",373420,"1,327",Divinity: Original Sin Enhanced Edition
924,"2,456",320300,"1,534",Car Mechanic Simulator 2015
911,"2,353",334230,"1,064",Town of Salem
909,"23,452",225540,"1,599",Just Cause 3
908,"4,755",6060,916,STAR WARS Battlefront II
907,"11,909",363150,"2,445",Romance of the Three Kingdoms 13
886,"2,902",32470,912,STAR WARS Empire at War: Gold Pack
881,"4,155",342200,"1,133",MechWarrior Online
875,"1,736",559460,"1,298",Cloud Pirates
868,"8,864",42690,"2,551",Call of Duty: Modern Warfare 3 - Multiplayer
856,"1,625",8800,"1,026",Sid Meier's Civilization IV: Beyond the Sword
848,"7,251",263280,"1,440",Spintires
842,"3,469",495910,965,Dungeon Fighter Online
840,"3,821",24010,"1,844",Train Simulator
835,"2,783",466170,939,Idling to Rule the Gods
831,"13,333",393420,"1,887",Hurtworld
827,"68,060",261640,"1,204",Borderlands: The Pre-Sequel
824,"40,200",206420,"1,409",Saints Row IV
820,"13,699",311690,931,Enter the Gungeon
808,"16,251",55230,"1,463",Saints Row: The Third
808,"2,115",22330,936,The Elder Scrolls IV: Oblivion
804,"3,490",200260,"1,099",Batman: Arkham City GOTY
800,"2,180",307690,882,Sleeping Dogs: Definitive Edition
785,"86,892",65980,"1,051",Sid Meier's Civilization: Beyond Earth
778,"1,680",482750,"1,389",Football Manager Touch 2017
773,"3,552",216150,939,MapleStory
770,"33,356",234140,"1,279",Mad Max
765,"44,588",391220,"1,420",Rise of the Tomb Raider
765,"11,052",266840,"1,060",Age of Mythology: Extended Edition
765,"9,322",370240,"1,437",NBA 2K16
754,"3,904",47410,"1,146",Stronghold Kingdoms
754,"1,352",3910,861,Sid Meier's Civilization III: Complete
753,"2,060",221680,987,Rocksmith 2014 Edition - Remastered
724,"4,026",215080,903,WAKFU
721,"27,368",367500,878,Dragon's Dogma: Dark Arisen
720,"2,499",431240,985,Golf With Your Friends
718,"5,254",71270,"1,217",Football Manager 2012
716,"2,634",444640,760,Bloons TD Battles
706,"18,785",236110,"1,096",Dungeon Defenders II
704,"16,963",298110,"1,008",Far Cry 4
702,"6,581",208580,758,STAR WARS Knights of the Old Republic II: The Sith Lords
691,"6,509",9480,"1,140",Saints Row 2
691,"4,741",251060,"1,093",Wargame: Red Dragon
689,"7,092",200710,911,Torchlight II
681,"2,282",504730,"1,496",MOBIUS FINAL FANTASY
680,"11,595",207890,"1,191",Football Manager 2013
679,"4,696",8980,951,Borderlands
678,"1,612",554530,678,CRACKHEAD
675,"3,276",9450,"1,013","Warhammer 40,000: Dawn of War - Soulstorm"
671,"1,834",237310,671,Elsword
670,"16,534",35450,"1,193",Rising Storm/Red Orchestra 2 Multiplayer
667,"4,432",204880,868,Sins of a Solar Empire: Rebellion
660,"5,630",17390,733,Spore
657,"4,717",518790,"1,263",theHunter: Call of the Wild
654,"1,877",363890,701,RPG Maker MV
649,"11,263",224600,857,Defiance
643,"12,884",20920,"1,121",The Witcher 2: Assassins of Kings Enhanced Edition
635,"2,655",253710,"1,013",theHunter
632,"3,832",387990,"1,413",Scrap Mechanic
631,"7,276",204300,858,Awesomenauts
629,"1,175",376210,753,The Isle
624,"212,613",275850,724,No Man's Sky
624,"10,387",234630,"1,514",Project CARS
623,"10,356",339610,"1,354",FreeStyle2: Street Basketball
618,"4,665",369200,857,Ghost in the Shell: Stand Alone Complex - First Assault Online
617,"2,094",367520,751,Hollow Knight
615,"5,457",457140,729,Oxygen Not Included
615,"2,196",203290,824,America's Army: Proving Grounds
615,615,515690,615,Warriors of Vilvatikta
609,"7,488",375450,"1,301",NOBUNAGA'S AMBITION: Souzou SengokuRisshiden
604,"1,713",547680,697,Guild Quest
600,"6,154",282440,951,Quake Live
595,"1,742",424840,872,Little Nightmares
592,"1,836",459820,653,Crush Crush
592,"1,791",80,909,Counter-Strike: Condition Zero
591,"12,582",236870,913,HITMAN
590,"47,822",360430,"1,259",Mafia III
588,"7,790",242050,920,Assassin's Creed IV Black Flag
587,"4,595",299740,911,Miscreated
584,"8,338",20900,"1,017",The Witcher: Enhanced Edition
580,"2,676",108600,808,Project Zomboid
575,"1,856",234330,735,Marvel Puzzle Quest
572,"5,642",32370,588,STAR WARS: Knights of the Old Republic
570,"52,485",337000,874,Deus Ex: Mankind Divided
564,"2,165",268420,635,Aura Kingdom
561,"6,297",226860,637,Galactic Civilizations III
561,"1,462",285920,652,TerraTech
560,"1,229",212200,612,Mabinogi
559,"18,708",313160,945,Farming Simulator 15
559,"5,658",391040,"1,881",F1 2016
558,"5,239",208140,795,Endless Space
557,"7,003",385770,716,Time Clickers
557,"2,701",310560,"1,002",DiRT Rally
557,"1,485",447820,721,Day of Infamy
546,"1,424",365960,"1,079",rFactor 2
545,"16,716",205100,778,Dishonored
544,"2,933",596650,821,Tap Adventure: Time Travel
540,"2,481",212910,"1,053",Call of Duty: Black Ops II - Zombies
540,"1,644",42960,667,Victoria II
539,"6,851",288390,"1,074",Nobunaga's Ambition: Souzou with Power Up Kit
539,"1,934",572410,979,Steel Division: Normandy 44
538,"15,743",307780,975,Mortal Kombat X
533,"7,620",534500,"1,520",Tiger Knight: Empire War
530,"5,047",312530,884,Duck Game
530,"2,904",462780,559,Darksiders Warmastered Edition
529,"7,455",12210,972,Grand Theft Auto IV
527,"5,299",389570,601,Mitos.is: The Game
527,816,365670,690,Blender 2.78
523,"2,272",459220,726,Halo Wars: Definitive Edition
521,"11,227",8870,707,BioShock Infinite
517,"1,774",458600,940,ZRoll
513,"4,120",436520,976,Line of Sight
508,"2,258",12120,980,Grand Theft Auto: San Andreas
504,"3,024",224260,877,No More Room in Hell
502,"18,260",319630,835,Life Is Strange
498,"4,118",297000,913,Heroes of Might & Magic III - HD Edition
489,919,22320,533,The Elder Scrolls III: Morrowind
488,"2,068",261430,"1,076",AION Free-to-Play
486,"2,709",39140,538,FINAL FANTASY VII
483,"1,551",360890,523,The Lost Valley
481,"6,635",346010,622,Besiege
481,"5,509",516750,836,My Summer Car
479,"11,896",361420,782,ASTRONEER
478,"6,465",220,707,Half-Life 2
474,"5,797",333420,"1,138",Cossacks 3
472,"11,043",475150,864,Titan Quest Anniversary Edition
471,"18,138",447040,937,Watch_Dogs 2
470,"3,402",493370,512,Ragnarok Clicker
469,"3,973",445220,678,Avorion
469,"2,406",42710,992,Call of Duty: Black Ops - Multiplayer
468,"8,364",47810,557,Dragon Age: Origins - Ultimate Edition
464,"23,065",220240,860,Far Cry 3
464,"5,280",39120,606,RIFT
463,"2,421",300,921,Day of Defeat: Source
462,"6,683",56400,822,"Warhammer 40,000: Dawn of War II - Retribution"
461,"7,601",282070,697,This War of Mine
455,"10,468",289130,635,Endless Legend
455,"4,852",298050,599,Master of Orion
455,"1,562",10180,755,Call of Duty: Modern Warfare 2
453,"2,734",287450,551,Rise of Nations: Extended Edition
453,675,465650,587,Out of the Park Baseball 18
452,"13,483",245620,736,Tropico 5
447,"9,763",203160,840,Tomb Raider
447,"2,535",250760,572,Shovel Knight: Treasure Trove
445,"4,194",460790,885,Bayonetta
439,"1,765",589390,608,Trashville
437,"1,596",42700,686,Call of Duty: Black Ops
432,"13,018",1250,634,Killing Floor
430,657,400240,430,The Deer
427,"13,263",359870,564,FINAL FANTASY X/X-2 HD Remaster
424,891,3900,506,Sid Meier's Civilization IV
422,"1,204",548710,573,Sandstorm
418,"2,032",578310,873,BRAIN / OUT
417,"1,812",24980,565,Mass Effect 2
414,"40,832",321040,766,DiRT 3 Complete Edition
413,"3,918",286940,"1,622",S.K.I.L.L. - Special Force 2
413,"1,543",448470,532,Bacteria
412,"8,070",209000,727,Batman: Arkham Origins
