"1","2","3","4","5","6"
0.68788501026694,0.580099502487562,0.64,1,0,0
0.066735112936345,0.191044776119403,0,0,0,0
0.47741273100616,0.0427860696517413,0.425714285714286,1,0,1
0.274127310061602,0.439800995024876,0.0457142857142857,0,0,0
0.236139630390144,0.410945273631841,0.04,0,0,0
0.650924024640657,0.0199004975124378,0,0,0,0
0.137577002053388,0.144278606965174,1,0,0,0
0.30082135523614,0.0328358208955224,0,0,0,0
0.105749486652977,0.00199004975124378,0,0,0,0
0.00616016427104723,0.0975124378109453,0,0,0,0
